generation,best_time,average_time,Pc,Pm,reward
1,1423,1581.1933333333334,0.6429089956379528,0.13815391668468038,-0.004919184820801124
2,1430,1544.45,0.8378321457702718,0.17137456764772124,0.021678321678321677
3,1399,1539.2133333333334,0.5424663950935547,0.05033614245127188,0.0
4,1399,1512.18,0.6445679682226272,0.07917297833862239,0.0
5,1399,1505.9233333333334,0.70865728693342,0.19657800449561327,0.004288777698355968
6,1393,1505.0433333333333,0.6898584864726695,0.155166083207724,-0.004307250538406317
7,1399,1498.0833333333333,0.47428856465949526,0.1056271676520657,0.008577555396711936
8,1387,1478.61,0.6388615871682746,0.10141291572624649,0.012256669069935111
9,1370,1471.6,0.8273979433737071,0.06007401173669101,-0.00291970802919708
10,1374,1471.9433333333334,0.8001780555589147,0.022941557038721062,0.021106259097525473
11,1345,1455.1033333333332,0.4035339393649078,0.03168744654664503,0.0
12,1345,1427.5066666666667,0.48201528557005335,0.13771316401241826,0.0
13,1345,1419.83,0.669293480048652,0.16034965307723814,0.0
14,1345,1420.1966666666667,0.7505010586556683,0.023325755296849784,0.0
15,1345,1423.4633333333334,0.7210433494735375,0.017127813365983225,0.0
16,1345,1421.72,0.4639622426836077,0.0678282693029732,0.0
17,1345,1413.0633333333333,0.8259581670311364,0.024741642866367698,0.0
18,1345,1411.8166666666666,0.4898786157308726,0.14945083077955842,0.0
19,1345,1399.9433333333334,0.6960938582830125,0.15574993777469348,0.007434944237918215
20,1335,1385.85,0.8690944687253408,0.036347250743847405,0.0
21,1335,1368.6433333333334,0.5882103860341672,0.06502274508623254,0.0
22,1335,1361.1866666666667,0.6859219835550234,0.18069964671006,0.0
23,1335,1358.0233333333333,0.7642618423103857,0.16563792955695603,0.0
24,1335,1363.8433333333332,0.8578116013315098,0.033690210506845744,0.0
25,1335,1353.7166666666667,0.7347044007233332,0.07549795584968107,0.0
26,1335,1354.6166666666666,0.8601065876651857,0.013559906057092265,0.0
27,1335,1349.02,0.7784155090324876,0.07480913827502933,0.0
28,1335,1351.8366666666666,0.4106000640116189,0.06073209907437852,0.0
29,1335,1348.3633333333332,0.8455276581573811,0.17203099449612713,0.0
30,1335,1361.4533333333334,0.8386089491144144,0.028337655247760878,0.0
31,1335,1349.19,0.6853807614444098,0.15559970569815107,0.0
32,1335,1354.2733333333333,0.533313540383515,0.16573216022576845,0.0
33,1335,1351.0733333333333,0.6087023480690603,0.16484090227186476,0.0
34,1335,1357.9233333333334,0.5050064452191918,0.013154818165812534,0.0
35,1335,1343.8866666666668,0.8380971407829201,0.20489405083191545,0.0
36,1335,1349.7,0.5427021292286269,0.17572120122864146,0.0
37,1335,1358.1866666666667,0.5456010376824131,0.04351353765246825,0.0
38,1335,1344.8,0.7747851057651818,0.1366199659196299,0.0
39,1335,1350.8566666666666,0.7694708132485115,0.040126767019242525,0.0
40,1335,1343.3,0.4072054611724904,0.06843770938546448,0.0
41,1335,1342.0366666666666,0.7166261956371678,0.0847495699787159,0.0
42,1335,1344.59,0.8166389747317839,0.19323203697354394,0.0
43,1335,1349.7633333333333,0.6517404274391844,0.1304302424401468,0.003745318352059925
44,1330,1347.76,0.6769026983929516,0.1628178288225502,0.0
45,1330,1352.8,0.8810355478967431,0.18277371601348721,0.0
46,1330,1354.0866666666666,0.5608354813413732,0.10306436776656736,0.0
47,1330,1347.96,0.7722093793457017,0.058223854307860534,0.0
48,1330,1343.26,0.7736903997995423,0.09567769286313141,0.0
49,1330,1349.2566666666667,0.5685624167310617,0.1894826006694605,0.0
50,1330,1356.9633333333334,0.8088946298799774,0.040558445933543755,0.0
51,1330,1347.7933333333333,0.5805527219494693,0.057365168919661605,0.0
52,1330,1344.9966666666667,0.6739596577554083,0.14095743893515522,0.0
53,1330,1343.7633333333333,0.5512860344763588,0.05931375318117108,0.0
54,1330,1338.3733333333332,0.5238486705034748,0.0773457239367799,0.0
55,1330,1342.5833333333333,0.5277170762693988,0.10508147511494863,0.0
56,1330,1341.84,0.40594688021885683,0.07165441804454985,0.0
57,1330,1341.6733333333334,0.8257328292544075,0.072083254737576,0.0
58,1330,1342.0,0.5488353341839503,0.197984986376256,0.0
59,1330,1349.47,0.5004410889002301,0.10235610211508647,0.0
60,1330,1344.8333333333333,0.41505025921296124,0.1914980525391193,0.0
61,1330,1348.63,0.8640746595017101,0.11102391957952765,0.0
62,1330,1346.34,0.5882435712477625,0.055413199685037495,0.0
63,1330,1344.31,0.4391205608879974,0.1679348380285383,0.0
64,1330,1347.4333333333334,0.7407751717905022,0.17396092973308008,0.0
65,1330,1350.6366666666668,0.5530986310962105,0.19969238075745124,0.007518796992481203
66,1320,1352.1666666666667,0.7307394796083967,0.1743805350781054,0.0
67,1320,1351.77,0.4637783763377694,0.06214902331067965,0.0
68,1320,1346.09,0.6980109571298794,0.04395673976242566,0.0
69,1320,1341.28,0.85473725090512,0.05484167594176227,0.0
70,1320,1338.75,0.7101313344536058,0.10304107537886975,0.0
71,1320,1343.6733333333334,0.5168628889222773,0.0385580427510963,0.0
72,1320,1336.5433333333333,0.7175763886790041,0.18864850339987888,0.0
73,1320,1347.1366666666668,0.6672615809438667,0.14792034946475038,0.0
74,1320,1351.36,0.8599526709509429,0.09865501087355788,0.0
75,1320,1349.5533333333333,0.6498404209892931,0.02041738852643099,0.0
76,1320,1340.5766666666666,0.7652184783544635,0.07063931635084615,0.0
77,1320,1344.41,0.4853036897272765,0.11201238351934914,0.0
78,1320,1344.0966666666666,0.7414917793898219,0.08021467563946375,0.0
