generation,best_time,average_time,Pc,Pm,reward
1,1382,1546.1566666666668,0.4890924469172643,0.06630024363869082,0.03690303907380608
2,1331,1510.1433333333334,0.8613693400557016,0.11608930863282736,0.009767092411720512
3,1318,1498.3566666666666,0.5719538541023113,0.07984621329064166,0.0
4,1318,1478.2533333333333,0.580873385710422,0.027716463545739055,0.0
5,1318,1465.8466666666666,0.5661622197279366,0.11414812079689499,0.0
6,1318,1449.15,0.8466447158922685,0.15640593745254097,0.0007587253414264037
7,1317,1450.79,0.6617025801813237,0.13381094084152734,0.0
8,1317,1436.1633333333334,0.5256798558647462,0.08197868577511891,0.023538344722854973
9,1286,1416.5566666666666,0.6138458572325822,0.17677173717245728,-0.028771384136858476
10,1323,1403.96,0.5280804007205344,0.09537161886009807,0.003779289493575208
11,1318,1393.5566666666666,0.7110210133705139,0.13550063919048194,0.0
12,1318,1396.4233333333334,0.5870142024264431,0.02127234422861947,0.0037936267071320183
13,1313,1379.4766666666667,0.8457181985467841,0.032890728726422944,0.003808073115003808
14,1308,1383.0333333333333,0.5230506790296179,0.08594480904902883,0.0045871559633027525
15,1302,1374.7,0.6536753942188753,0.07714784435706577,0.01228878648233487
16,1286,1379.2,0.8635923550599292,0.040550536847000884,0.0
17,1286,1379.1533333333334,0.7839950032206775,0.11394418942031717,0.01010886469673406
18,1273,1372.2366666666667,0.8348600036522897,0.07652692625377211,0.0
19,1273,1368.3266666666666,0.8832284760456838,0.20020681044175884,0.0
20,1273,1361.1566666666668,0.6150388460729781,0.12559728764284248,-0.01021209740769835
21,1286,1352.86,0.7882413204170882,0.03369607353579383,-0.0038880248833592537
22,1291,1342.8533333333332,0.8461437904401503,0.15697494486962194,0.006196746707978312
23,1283,1347.6833333333334,0.41877011595769403,0.09481560073185229,0.0
24,1283,1334.4466666666667,0.5316478312090107,0.09481514864090093,0.0
25,1283,1330.3266666666666,0.618284958303727,0.0848836044247866,0.0
26,1283,1326.43,0.5858118023491139,0.06777773070110966,0.0
